"name","description","url","params","response_type_shape"
"JSONPlaceholder - Posts","Get fake blog posts.","https://jsonplaceholder.typicode.com/posts","id (optional, as path e.g. /posts/1)","JSON Array - [{""userId"": 1, ""id"": 1, ""title"": ""..."", ""body"": ""...""}]"
"JSONPlaceholder - Users","Get fake user data.","https://jsonplaceholder.typicode.com/users","id (optional, as path e.g. /users/1)","JSON Array - [{""id"": 1, ""name"": ""Leanne Graham"", ""username"": ""..."", ...}]"
"Open Notify - Astronauts","Get the current number of people in space and their names.","http://api.open-notify.org/astros.json","None","JSON Object - {""message"": ""success"", ""number"": 10, ""people"": [{""name"": ""..."", ""craft"": ""...""}]}"
"Deck of Cards API - New Deck","Get a new, shuffled deck of cards.","https://deckofcardsapi.com/api/deck/new/shuffle/","deck_count=1 (optional query param)","JSON Object - {""success"": true, ""deck_id"": ""..."", ""shuffled"": true, ""remaining"": 52}"
"Public APIs List","Get a list of free public APIs.","https://api.publicapis.org/entries","title (optional query param, e.g. ?title=cat), category (optional query param, e.g. ?category=animals)","JSON Object - {""count"": 1, ""entries"": [{""API"": ""..."", ""Description"": ""..."", ...}]}"
"Bored API","Get a random activity suggestion.","https://www.boredapi.com/api/activity","type (optional query param, e.g. ?type=social), participants (optional query param, e.g. ?participants=1)","JSON Object - {""activity"": ""Learn a new programming language"", ""type"": ""..."", ""participants"": 1, ...}"
"Agify.io","Predict the age of a person given their name.","https://api.agify.io","name (required query param, e.g. ?name=michael)","JSON Object - {""name"": ""michael"", ""age"": 62, ""count"": ...}"
"Cat Facts","Get a random cat fact.","https://catfact.ninja/fact","None","JSON Object - {""fact"": ""A cat's nose is as unique as a human's fingerprint."", ""length"": 52}"
"CoinDesk - Bitcoin Price","Get the current price of Bitcoin in USD, GBP, and EUR.","https://api.coindesk.com/v1/bpi/currentprice.json","None","JSON Object - {""time"": {...}, ""disclaimer"": ""..."", ""bpi"": {""USD"": {...}, ""GBP"": {...}}}"
"Zippopotam.us","Get information about a US zip code.","https://api.zippopotam.us/us/90210","country_code (path, e.g. /us/), zip_code (path, e.g. /90210)","JSON Object - {""post code"": ""90210"", ""country"": ""United States"", ""places"": [{""place name"": ""Beverly Hills"", ...}]}",
"Open Trivia Database","Get trivia questions based on category, difficulty, and type.","https://opentdb.com/api.php","amount (required, e.g. ?amount=10), category (optional, e.g. ?category=17), difficulty (optional, e.g. ?difficulty=medium), type (optional, e.g. ?type=multiple)","JSON Object - {""response_code"": 0, ""results"": [{""type"": ""multiple"", ""difficulty"": ""medium"", ""category"": ""Science & Nature"", ...}]}"
