timestamp,call_id,summary,openness,timing,price,notes
2025-10-18 21:37:26,0199f9ff-0942-755a-b2f1-b7bda3881f16,"Vanessa from Mozart Management called the owner of 550 15 South Aiken Ave, apartment 903, to inquire if they had any thoughts about selling their property. The owner responded with a definitive ""No."" Vanessa acknowledged the response and ended the call.",Not Interested,N/A,N/A,N/A
2025-10-18 21:38:40,0199fa1a-5a00-7772-bcf2-c223306ad6bc,"Vanessa from Mozart Management called the owner of 515 South Aiken Ave, Apt 903, to inquire about their interest in selling the property. The owner indicated they might consider selling within 2-3 years for $1-2 million, noting the property is ""a bit run down."" Mozart Management will have an acquisition specialist follow up with more information.",Maybe,In the next 2 years. Maybe 3.,A million maybe 2,Property is 'a bit hung down here'.
2025-10-18 22:00:34,0199fa31-b659-7770-bcf7-72d5880f418e,"Vanessa from Mozart Management called the owner of 515 South Aiken Ave, apartment 903, to inquire if they had any thoughts about selling their property. The owner stated they had not considered selling, and Vanessa politely ended the call after acknowledging their response.",Not Interested,,,"Owner stated, ""Uh, no. Not really."" when asked about selling."
2025-10-18 22:08:06,0199fa38-4ca0-7881-bbb9-2605d02c30d6,"An AI from Mozart Management called to speak with the owner of 515 South Aiken Ave, apartment 903. The user responded with a number that the AI couldn't process, leading the AI to re-ask if the user was the property owner. The call subsequently ended due to silence.",Unsure,N/A,N/A,User responded with a number that AI could not process. Call ended due to silence-timed-out.
2025-10-18 22:09:27,0199fa39-f3f5-7885-ae9c-0b94149af41b,"An AI from Mozart Management called the owner of 515 South Aiken Ave, Apt 903, to inquire if they had considered selling their property. The owner responded negatively, and the call concluded shortly thereafter.",Not Interested,,,"Owner stated ""Uh, no"" when asked about selling. Call ended immediately after."
2025-10-18 23:25:06,0199fa7f-332e-777e-9e26-018f9980b22c,"A representative from Mozart Management called the user, believing them to be the owner of 515 South Aiken Ave, apartment 903, to inquire about selling the property. The user clarified that they are not the owner, leading the AI to apologize and end the call.",Unsure,,,The person who answered the call is not the owner of the property.
2025-10-18 23:27:43,0199fa81-4698-7880-998e-a207babd0333,"An AI from Mozart Management called to speak with the owner of 515 South Aiken Ave, apartment 903. The call was very brief and ended prematurely, seemingly by the assistant, before the AI could fully state its purpose.",Unsure,,,Call was very short and interrupted by the user. No information about selling intent was gathered.
2025-10-18 23:28:22,0199fa81-d7d3-711e-b3c0-879a8d960739,"An AI from Mozart Management, identifying as Vanessa, called to speak with the owner of 515 South Aiken Ave, apartment 903. The AI stated they were looking for properties in the area and inquired if the owner had considered selling, before the call ended due to silence.",Unsure,N/A,N/A,Call ended due to silence after AI asked about selling.
2025-10-20 19:54:16,019a040a-ed6d-7bbc-bb9c-ba8037a70a30,Vanessa from Mozart Management called the owner of 456 Oak Ave to inquire if they had any thoughts about selling their property. The owner responded that they had not considered selling.,Not Interested,N/A,N/A,Owner stated 'No' when asked about selling.
2025-10-20 19:54:24,019a040a-cd8c-7881-a9b6-6df103689d04,An AI from Mozart Management called the owner of 123 Main St. to inquire about selling her property. The owner initially expressed interest with a two-month timeframe but then decided against selling. The AI acknowledged her decision and concluded the call.,Not Interested,,,"Initially stated '2 months' for selling, but then changed mind and said 'I don't want to sell'."
2025-10-20 19:54:30,019a040b-0fe3-7bbc-bb9c-f545b7fc825e,"An AI from Mozart Management called to speak with the owner of 789 Pineland Village. The recipient immediately responded with ""No,"" prompting the AI to thank them and end the call.",Unsure,,,"User said ""No"" when asked if they were the owner. Call was very short and ended quickly."
